After sweep 1 energy=32111.172507496773  maxlinkdim=20 maxerr=5.04E-02 time=8.361
After sweep 2 energy=20341.215641561055  maxlinkdim=50 maxerr=4.61E-03 time=1.825
After sweep 3 energy=17380.66689150834  maxlinkdim=100 maxerr=2.46E-03 time=2.712
After sweep 4 energy=17197.443283149103  maxlinkdim=100 maxerr=2.71E-03 time=3.122
After sweep 5 energy=16829.551416202074  maxlinkdim=200 maxerr=7.70E-04 time=4.464
After sweep 1 energy=16758.928107410185  maxlinkdim=300 maxerr=2.66E-04 time=6.016
After sweep 1 energy=16721.41143049136  maxlinkdim=800 maxerr=6.66E-06 time=14.873
After sweep 1 energy=16717.970706176966  maxlinkdim=1300 maxerr=2.03E-06 time=32.014
After sweep 1 energy=16715.044723974526  maxlinkdim=1800 maxerr=8.58E-07 time=52.567
After sweep 1 energy=16712.787335762514  maxlinkdim=2300 maxerr=2.94E-07 time=73.903
After sweep 1 energy=16710.80077789132  maxlinkdim=2799 maxerr=1.61E-07 time=93.417
After sweep 1 energy=16708.997188980436  maxlinkdim=3300 maxerr=7.52E-08 time=116.923
After sweep 1 energy=16707.38411789175  maxlinkdim=3798 maxerr=3.90E-08 time=131.003
After sweep 1 energy=16705.962948174623  maxlinkdim=4299 maxerr=2.16E-08 time=143.774
After sweep 1 energy=16704.717021808647  maxlinkdim=4799 maxerr=1.23E-08 time=154.520
After sweep 1 energy=16703.63998351669  maxlinkdim=4913 maxerr=1.00E-08 time=163.026
After sweep 1 energy=16702.72704973186  maxlinkdim=4917 maxerr=1.00E-08 time=167.186
After sweep 1 energy=16701.969777473743  maxlinkdim=4976 maxerr=1.00E-08 time=173.019
After sweep 1 energy=16701.354314378936  maxlinkdim=5082 maxerr=1.00E-08 time=172.995
After sweep 1 energy=16700.86058897306  maxlinkdim=5274 maxerr=1.00E-08 time=172.277
After sweep 1 energy=16700.47242180154  maxlinkdim=5413 maxerr=1.00E-08 time=174.021
After sweep 1 energy=16700.173604640124  maxlinkdim=5279 maxerr=1.00E-08 time=174.604
After sweep 1 energy=16699.94496061494  maxlinkdim=5219 maxerr=1.00E-08 time=172.343
After sweep 1 energy=16699.768115583738  maxlinkdim=5207 maxerr=1.00E-08 time=171.218
After sweep 1 energy=16699.632872393122  maxlinkdim=5135 maxerr=1.00E-08 time=171.450
After sweep 1 energy=16699.52912850069  maxlinkdim=5079 maxerr=1.00E-08 time=175.946
After sweep 1 energy=16699.451378450016  maxlinkdim=5017 maxerr=1.00E-08 time=176.492
After sweep 1 energy=16699.393425610207  maxlinkdim=4934 maxerr=1.00E-08 time=177.081
After sweep 1 energy=16699.351312495164  maxlinkdim=4849 maxerr=1.00E-08 time=175.084
After sweep 1 energy=16699.32164466955  maxlinkdim=4760 maxerr=1.00E-08 time=171.472
After sweep 1 energy=16699.29971029158  maxlinkdim=4701 maxerr=1.00E-08 time=170.632
After sweep 1 energy=16699.28503750707  maxlinkdim=4628 maxerr=1.00E-08 time=167.903
After sweep 1 energy=16699.27506748592  maxlinkdim=4582 maxerr=1.00E-08 time=177.402
After sweep 1 energy=16699.268259028795  maxlinkdim=4608 maxerr=1.00E-08 time=177.188
After sweep 1 energy=16699.262967856976  maxlinkdim=4540 maxerr=1.00E-08 time=177.270
After sweep 1 energy=16699.25971012761  maxlinkdim=4494 maxerr=1.00E-08 time=176.829
After sweep 1 energy=16699.257466392522  maxlinkdim=4471 maxerr=1.00E-08 time=169.325
After sweep 1 energy=16699.25600301088  maxlinkdim=4449 maxerr=1.00E-08 time=167.403
After sweep 1 energy=16699.254832808896  maxlinkdim=4439 maxerr=1.00E-08 time=166.045
After sweep 1 energy=16699.25400425286  maxlinkdim=4429 maxerr=1.00E-08 time=163.011
After sweep 1 energy=16699.253420867262  maxlinkdim=4426 maxerr=1.00E-08 time=163.848

